"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"307 531 BEATTY STREET","VVWDT","$576,500","7","2","1","753","2007","8","No","1","$370.80","$765.60","$538,000","$576,500","11/30/2015",,
"2707 188 KEEFER PLACE","VVWDT","$578,500","5","2","2","840","2009","6","No","1","$366.92","$688.69","$568,000","$578,500","9/22/2015","Yes","False Creek Water & City View"
"1506 555 JERVIS STREET","VVWCB","$579,000","6","1","1","667","1996","19","Yes","1","$351.93","$868.07","$549,900","$579,000","11/2/2015","Yes","COAL HARBOUR WATER & MOUNTAINS"
"1808 1238 SEYMOUR STREET","VVWDT","$579,000","6","1","1","770","1996","19","Yes","1","$312.44","$751.95","$579,000","$579,000","10/25/2015","Yes","Water and park"
"1003 111 W GEORGIA STREET","VVWDT","$579,000","55","2","2","913","2007","8","No","1","$408.12","$634.17","$588,000","$579,000","9/28/2015","Yes","CITY"
"601 1003 PACIFIC STREET","VVWWE","$579,900","6","2","2","1,061","1998","17",,"1","$479.66","$546.56","$579,900","$579,900","10/22/2015","Yes","SOUTHEAST"
"706 822 SEYMOUR STREET","VVWDT","$580,000","18","2","2","742","2004","11","No","1","$377.51","$781.67","$598,000","$580,000","9/5/2015","Yes","CITY"
"2702 63 KEEFER PLACE","VVWDT","$580,000","8","2","2","881","2000","15","No","1","$478.62","$658.34","$520,000","$580,000","11/2/2015","Yes","CITY, WATER, MOUNTAIN"
"1109 1188 RICHARDS STREET","VVWYA","$580,000","9","2","2","890","1995","20","No","1","$310.93","$651.69","$549,900","$580,000","10/14/2015","Yes","EMERY BARNES PARK"
"209 1216 HOMER STREET","VVWYA","$580,000","4","1","1","797","1997","18","No",,"$441.03","$727.73","$548,000","$580,000","9/26/2015","Yes","YALETOWN"
"1102 1323 HOMER STREET","VVWYA","$580,000","11","1","1","756","2013","3","Yes","1","$306.07","$767.20","$589,000","$580,000","12/18/2015","Yes","OPEN YALETOWN VIEW"
"520 1133 HOMER STREET","VVWYA","$581,000","3","2","2","766","2008","7",,"1","$293.41","$758.49","$569,900","$581,000","11/23/2015","Yes","GARDEN VIEW WEST"
"2504 1189 MELVILLE STREET","VVWCB","$581,500","54","1","1","710","2007","8","Yes","1","$367.02","$819.01","$589,000","$581,500","11/9/2015",,
"3011 833 SEYMOUR STREET","VVWDT","$583,000","6","1","1","653","2011","4","No","1","$214.79","$892.80","$539,000","$583,000","10/5/2015","Yes","NORTH SHORE MOUNTAINS"
