Address,SubArea,Price,DaysOnMarket,Bedrooms,Bathrooms,FloorArea,YearBuilt,Age,Locker,Parking,MaintenanceFees,SalePricePerSquareFoot,List Price,Sold Price,Sold Date,View,VwSpecify,ValueOfView,ValueOfSubArea,Sold Timestamp
1901 438 SEYMOUR STREET,VVWDT,260100,151.0,1.0,1.0,534.0,1997.0,16,1.0,1.0,3.4514,4.8708,26.9,26.01,2014-01-27,Yes,CITYSCAPE,2.0,2.0,1390780800.0
311 950 DRAKE STREET,VVWDT,263000,4.0,1.0,1.0,552.0,1982.0,32,0.0,0.0,2.1638,4.7645,26.5,26.3,2014-06-30,Yes,PLEASANT COURTYARD OUTLOOK,1.0,2.0,1404086400.0
1107 1100 HARWOOD STREET,VVWWE,265000,56.0,1.0,1.0,540.0,1966.0,48,1.0,0.0,4.4332,4.9074,27.99,26.5,2014-04-03,Yes,ENGLISH BAY WATER VIEW,3.0,3.0,1396483200.0
710 438 SEYMOUR STREET,VVWDT,265000,177.0,1.0,1.0,538.0,1996.0,17,0.0,1.0,3.4514,4.9257,29.68,26.5,2014-01-25,No,,-1.0,2.0,1390608000.0
316 1330 BURRARD STREET,VVWDT,267000,16.0,1.0,1.0,602.0,1978.0,36,1.0,0.0,2.6108999999999996,4.4352,27.5,26.7,2014-04-12,,COURTYARD,0.0,2.0,1397260800.0
306 910 BEACH AVENUE,VVWYA,267500,3.0,1.0,1.0,369.0,1997.0,17,0.0,1.0,1.8363,7.2493,28.9,26.75,2014-03-20,No,,-1.0,4.0,1395273600.0
1006 1188 HOWE STREET,VVWDT,270000,57.0,1.0,1.0,495.0,1994.0,19,1.0,1.0,2.3,5.4545,28.48,27.0,2014-01-02,Yes,CITY SKYLINE VIEWS,2.0,2.0,1388620800.0
203 1010 HOWE STREET,VVWDT,270000,13.0,1.0,1.0,526.0,1982.0,32,1.0,0.0,2.5436,5.1331,27.2,27.0,2014-03-17,Yes,NORTH,1.0,2.0,1395014400.0
506 939 EXPO BOULEVARD,VVWYA,271000,37.0,0.0,1.0,445.0,2005.0,9,0.0,0.0,2.2281999999999997,6.0899,27.58,27.1,2014-02-27,Yes,VANCOUVER CITY AT IT'S FINEST,2.0,4.0,1393459200.0
1210 438 SEYMOUR STREET,VVWDT,271500,99.0,1.0,1.0,538.0,1996.0,17,0.0,1.0,3.4514,5.0465,27.5,27.15,2014-01-14,,,0.0,2.0,1389657600.0
901 438 SEYMOUR STREET,VVWDT,275000,15.0,1.0,1.0,534.0,1996.0,18,1.0,1.0,3.44,5.1498,27.49,27.5,2014-06-26,Yes,CITY,2.0,2.0,1403740800.0
705 1188 HOWE STREET,VVWDT,275000,63.0,1.0,1.0,495.0,1994.0,20,0.0,0.0,2.23,5.555599999999999,27.99,27.5,2014-04-14,No,,-1.0,2.0,1397433600.0
414 1040 PACIFIC STREET,VVWWE,279950,97.0,1.0,1.0,508.0,1982.0,32,0.0,1.0,2.112,5.510800000000001,27.995,27.995,2014-06-22,,,0.0,3.0,1403395200.0
2001 1330 HARWOOD STREET,VVWWE,280000,9.0,1.0,1.0,615.0,1970.0,44,1.0,1.0,3.1982999999999997,4.5527999999999995,28.9,28.0,2014-02-26,Yes,"WATER, MOUNTAIN, CITY",2.0,3.0,1393372800.0
811 1333 HORNBY STREET,VVWDT,280000,43.0,1.0,1.0,543.0,1979.0,35,1.0,1.0,2.4161,5.156499999999999,28.9,28.0,2014-03-13,,,0.0,2.0,1394668800.0
1601 789 DRAKE STREET,VVWDT,280000,55.0,0.0,1.0,397.0,1991.0,23,0.0,0.0,1.8894,7.052899999999999,28.5,28.0,2014-04-21,Yes,CITY,2.0,2.0,1398038400.0
809 1331 ALBERNI STREET,VVWWE,280000,0.0,0.0,1.0,396.0,1999.0,15,1.0,0.0,1.9037,7.0707,28.0,28.0,2014-03-21,No,,-1.0,3.0,1395360000.0
704 969 RICHARDS STREET,VVWDT,281500,57.0,0.0,1.0,420.0,2002.0,11,1.0,0.0,1.6868,6.7024,29.99,28.15,2014-01-14,,,0.0,2.0,1389657600.0
410 1188 RICHARDS STREET,VVWYA,282000,7.0,0.0,1.0,403.0,1995.0,19,0.0,1.0,1.3403999999999998,6.9975,27.2,28.2,2014-04-07,Yes,EMERY BARNES PARK,1.0,4.0,1396828800.0
502 1080 PACIFIC STREET,VVWWE,282500,50.0,1.0,1.0,508.0,1981.0,33,1.0,0.0,2.3034,5.561,28.8,28.25,2014-05-10,No,,-1.0,3.0,1399680000.0
1601 438 SEYMOUR STREET,VVWDT,283000,11.0,1.0,1.0,534.0,1996.0,18,1.0,1.0,3.3747000000000003,5.299600000000001,29.99,28.3,2014-02-08,Yes,CITY,2.0,2.0,1391817600.0
2105 438 SEYMOUR STREET,VVWDT,283000,89.0,1.0,1.0,515.0,1996.0,17,1.0,1.0,3.29,5.4951,29.8,28.3,2014-01-18,Yes,NORTH SHORE MOUNTAIN & WATER,2.0,2.0,1390003200.0
502 789 DRAKE STREET,VVWDT,285000,8.0,1.0,1.0,578.0,1991.0,23,0.0,0.0,2.9924,4.9308,28.8,28.5,2014-02-12,Yes,CITY VIEWS,2.0,2.0,1392163200.0
301 1080 PACIFIC STREET,VVWWE,285000,111.0,1.0,1.0,769.0,1981.0,32,1.0,0.0,3.4893,3.7061,33.0,28.5,2014-03-30,,,0.0,3.0,1396137600.0
207 1055 HARWOOD STREET,VVWWE,285000,12.0,1.0,1.0,724.0,1948.0,66,1.0,0.0,2.3213999999999997,3.9364999999999997,28.9,28.5,2014-02-23,,,0.0,3.0,1393113600.0
504 1212 HOWE STREET,VVWDT,285000,9.0,1.0,1.0,405.0,2008.0,6,0.0,0.0,1.6695,7.037000000000001,29.9888,28.5,2014-04-04,Yes,TOWARDS WALL CENTER AND MOUNTAINS,2.0,2.0,1396569600.0
1802 1188 RICHARDS STREET,VVWYA,287000,32.0,0.0,1.0,400.0,1995.0,18,0.0,1.0,1.33,7.175,29.8,28.7,2014-01-05,Yes,UNOBSTRUCTED PARK VIEW WITH CITY & MOUNTAINS BEYOND,2.0,4.0,1388880000.0
407 1100 HARWOOD STREET,VVWWE,288000,18.0,1.0,1.0,540.0,1966.0,48,1.0,0.0,4.4332,5.3333,29.3,28.8,2014-04-27,Yes,CITY VIEW,2.0,3.0,1398556800.0
1603 1331 ALBERNI STREET,VVWWE,288000,21.0,0.0,1.0,396.0,1999.0,15,1.0,0.0,1.9037,7.2726999999999995,28.8,28.8,2014-03-25,Yes,WATER AND MOUNTAIN VIEW,2.0,3.0,1395705600.0
2102 1188 RICHARDS STREET,VVWYA,290000,0.0,0.0,1.0,400.0,1995.0,19,1.0,1.0,1.33,7.25,29.0,29.0,2014-05-05,Yes,PARK & CITY,2.0,4.0,1399248000.0
702 1188 RICHARDS STREET,VVWYA,292500,4.0,0.0,1.0,404.0,1996.0,18,0.0,1.0,1.3403999999999998,7.2401,29.49,29.25,2014-02-07,Yes,EMERY BARNES PARK,1.0,4.0,1391731200.0
508 1010 HOWE STREET,VVWDT,292500,9.0,1.0,1.0,581.0,1982.0,32,1.0,0.0,2.8,5.0344,29.5,29.25,2014-04-17,Yes,CITY SCAPE VIEWS - SOUTH/EAST,2.0,2.0,1397692800.0
702 1315 CARDERO STREET,VVWWE,293000,5.0,1.0,1.0,600.0,1956.0,58,1.0,0.0,2.3006,4.8833,29.99,29.3,2014-06-03,Yes,TREED CITY VIEW,2.0,3.0,1401753600.0
210 1331 ALBERNI STREET,VVWWE,293000,7.0,0.0,1.0,446.0,1999.0,15,1.0,1.0,2.2641999999999998,6.569500000000001,29.88,29.3,2014-06-17,,,0.0,3.0,1402963200.0
901 1188 RICHARDS STREET,VVWYA,294000,11.0,1.0,1.0,422.0,1993.0,21,0.0,1.0,1.4036000000000002,6.966799999999999,29.99,29.4,2014-05-17,Yes,WEST- CITY VIEWS + PARK ACROSS STREET,2.0,4.0,1400284800.0
