Address,SubArea,Price,DaysOnMarket,Bedrooms,Bathrooms,FloorArea,YearBuilt,Age,Locker,Parking,MaintenanceFees,SalePricePerSquareFoot,List Price,Sold Price,Sold Date,View,VwSpecify,ValueOfView,ValueOfSubArea,Sold Timestamp
PH1 1777 BAYSHORE DRIVE,VVWCB,12900000,58.0,3.0,5.0,4882.0,2000.0,16,1.0,4.0,24.979699999999998,26.4236,1388.8,1290.0,2016-07-13,Yes,SPECTACULAR VIEWS!,1.0,1.0,1468368000.0
903 1128 W HASTINGS STREET,VVWCB,220000,71.0,1.0,1.0,295.0,1999.0,17,0.0,0.0,0.17800000000000002,7.4576,22.8,22.0,2016-09-21,,,0.0,1.0,1474416000.0
1706 1251 CARDERO STREET,VVWWE,230000,8.0,0.0,1.0,505.0,1968.0,48,1.0,1.0,2.87,4.5545,22.99,23.0,2016-11-15,Yes,"CITY, MOUNTAINS & SOME WATER",2.0,3.0,1479168000.0
1906 1251 CARDERO STREET,VVWWE,230000,12.0,1.0,1.0,435.0,1964.0,52,1.0,1.0,3.12,5.2874,23.9,23.0,2016-11-14,Yes,DT CITY & FALSE CREEK,2.0,3.0,1479081600.0
802 1128 W HASTINGS STREET,VVWCB,248000,169.0,1.0,1.0,360.0,2000.0,16,0.0,0.0,0.0,6.8889,24.99,24.8,2016-10-21,Yes,CITY,2.0,1.0,1477008000.0
404 1251 CARDERO STREET,VVWWE,250000,12.0,1.0,1.0,694.0,1968.0,48,1.0,1.0,3.73,3.6023,23.49,25.0,2016-12-03,Yes,CITY OUTLOOK SOME WATER,2.0,3.0,1480723200.0
908 1250 BURNABY STREET,VVWWE,258000,1.0,1.0,1.0,430.0,1968.0,48,1.0,1.0,4.0782,6.0,25.8,25.8,2016-10-05,Yes,OCEAN & CITY,2.0,3.0,1475625600.0
308 1251 CARDERO STREET,VVWWE,280000,8.0,1.0,1.0,612.0,1968.0,48,1.0,0.0,3.73,4.5752,29.99,28.0,2016-12-01,,,0.0,3.0,1480550400.0
2205 1251 CARDERO STREET,VVWWE,290000,17.0,1.0,1.0,592.0,1968.0,48,1.0,1.0,3.73,4.8986,29.9,29.0,2016-10-01,Yes,"WATER, MOUNTAIN, CITY",2.0,3.0,1475280000.0
303 1100 HARWOOD STREET,VVWWE,295000,6.0,1.0,1.0,543.0,1966.0,50,0.0,0.0,3.7226999999999997,5.432799999999999,27.8,29.5,2016-09-27,Yes,OVER TREE LINED HARWOOD STREET,1.0,3.0,1474934400.0
207 1940 BARCLAY STREET,VVWWE,311000,5.0,0.0,1.0,400.0,1959.0,57,1.0,0.0,2.133,7.775,29.8,31.1,2016-09-20,,,0.0,3.0,1474329600.0
209 1879 BARCLAY STREET,VVWWE,340000,1.0,1.0,1.0,645.0,1955.0,61,1.0,1.0,3.43,5.2713,35.8,34.0,2016-10-17,Yes,TREE LINED OUTLOOK,1.0,3.0,1476662400.0
1007 1850 COMOX STREET,VVWWE,354500,9.0,1.0,1.0,651.0,1968.0,48,1.0,1.0,3.32,5.445499999999999,34.99,35.45,2016-09-07,Yes,CITY VIEWS,2.0,3.0,1473206400.0
710 1189 HOWE STREET,VVWDT,370000,25.0,0.0,1.0,412.0,1999.0,17,0.0,1.0,2.063,8.980599999999999,38.0,37.0,2016-11-29,No,,-1.0,2.0,1480377600.0
314 1189 HOWE STREET,VVWDT,372000,19.0,0.0,1.0,480.0,1999.0,17,0.0,0.0,2.5,7.75,37.5,37.2,2016-10-15,No,,-1.0,2.0,1476489600.0
211 1080 BROUGHTON STREET,VVWWE,375000,5.0,1.0,1.0,603.0,1983.0,33,1.0,1.0,2.0562,6.2189,38.8,37.5,2016-09-20,No,,-1.0,3.0,1474329600.0
701 1967 BARCLAY STREET,VVWWE,375000,0.0,0.0,1.0,428.0,1969.0,47,1.0,0.0,2.5661,8.7617,36.99,37.5,2016-09-27,Yes,STANLEY PARK & N SHORE MTNS,1.0,3.0,1474934400.0
606 1010 HOWE STREET,VVWDT,379000,4.0,1.0,1.0,478.0,1983.0,33,1.0,0.0,2.6431999999999998,7.9289,38.99,37.9,2016-09-11,Yes,CITY,2.0,2.0,1473552000.0
810 1333 W GEORGIA STREET,VVWCB,385900,5.0,0.0,1.0,422.0,2006.0,10,1.0,0.0,2.1215,9.1445,38.59,38.59,2016-09-11,Yes,CITY,2.0,1.0,1473552000.0
1802 1188 RICHARDS STREET,VVWYA,388000,15.0,0.0,1.0,400.0,1995.0,21,0.0,1.0,1.4086,9.7,37.8,38.8,2016-10-01,Yes,UNOBSTRUCTED PARK VIEW,1.0,4.0,1475280000.0
103 1740 COMOX STREET,VVWWE,389000,12.0,1.0,1.0,730.0,1976.0,40,1.0,1.0,3.5893,5.3288,35.0,38.9,2016-10-19,No,,-1.0,3.0,1476835200.0
304 1155 SEYMOUR STREET,VVWDT,390000,15.0,0.0,1.0,470.0,2005.0,11,1.0,0.0,2.1009,8.2979,39.5,39.0,2016-09-21,Yes,PARK VIEW,1.0,2.0,1474416000.0
302 1189 HOWE STREET,VVWDT,390000,7.0,0.0,1.0,410.0,1999.0,17,0.0,1.0,2.0019,9.5122,39.9,39.0,2016-09-27,No,,-1.0,2.0,1474934400.0
406 233 ABBOTT STREET,VVWDT,391400,33.0,0.0,1.0,538.0,1996.0,20,0.0,0.0,2.2788,7.2751,41.88,39.14,2016-10-31,,,0.0,2.0,1477872000.0
311 1274 BARCLAY STREET,VVWWE,395000,8.0,1.0,1.0,720.0,1980.0,36,0.0,1.0,2.5563,5.4861,39.9,39.5,2016-09-22,Yes,TREE LINED STREET,1.0,3.0,1474502400.0
909 1331 ALBERNI STREET,VVWWE,395000,6.0,0.0,1.0,400.0,1999.0,17,1.0,1.0,2.52,9.875,41.99,39.5,2016-10-24,Yes,CITYSCAPE,2.0,3.0,1477267200.0
2203 1251 CARDERO STREET,VVWWE,396000,8.0,1.0,1.0,592.0,1968.0,48,1.0,1.0,3.58,6.6892,34.99,39.6,2016-11-15,Yes,ENGLISH BAY & MOUNTAINS,2.0,3.0,1479168000.0
803 989 NELSON STREET,VVWDT,399000,4.0,1.0,1.0,494.0,1995.0,21,1.0,0.0,3.14,8.0769,37.9,39.9,2016-12-10,,,0.0,2.0,1481328000.0
506 928 BEATTY STREET,VVWYA,400000,26.0,0.0,1.0,446.0,2005.0,11,0.0,0.0,2.3797,8.9686,41.0,40.0,2016-09-06,,,0.0,4.0,1473120000.0
305 1367 ALBERNI STREET,VVWWE,403000,8.0,0.0,1.0,438.0,1999.0,17,1.0,1.0,2.3849,9.2009,39.8,40.3,2016-09-15,,,0.0,3.0,1473897600.0
402 989 NELSON STREET,VVWDT,405000,6.0,1.0,1.0,498.0,1995.0,21,1.0,0.0,3.1475,8.1325,39.9,40.5,2016-10-17,Yes,CITY VIEW,2.0,2.0,1476662400.0
1007 1225 RICHARDS STREET,VVWDT,405000,8.0,0.0,1.0,401.0,2003.0,13,1.0,0.0,1.7094,10.0998,34.99,40.5,2016-09-20,Yes,SOUTHERN CITY AND GARDENS,2.0,2.0,1474329600.0
1205 1367 ALBERNI STREET,VVWWE,410000,9.0,0.0,1.0,445.0,1999.0,17,1.0,1.0,2.3849,9.2135,39.99,41.0,2016-11-23,Yes,CITYSCAPE,2.0,3.0,1479859200.0
411 1718 NELSON STREET,VVWWE,410000,50.0,1.0,1.0,562.0,1976.0,40,0.0,1.0,3.0804,7.2954,42.0,41.0,2016-10-06,No,,-1.0,3.0,1475712000.0
1502 1188 HOWE STREET,VVWDT,412000,12.0,1.0,1.0,549.0,1994.0,22,0.0,1.0,2.8816,7.5046,41.5,41.2,2016-10-16,No,,-1.0,2.0,1476576000.0
1004 888 HOMER STREET,VVWDT,413000,14.0,0.0,1.0,443.0,2011.0,5,1.0,0.0,2.1519999999999997,9.322799999999999,39.99,41.3,2016-09-14,,,0.0,2.0,1473811200.0
508 910 BEACH AVENUE,VVWYA,414500,93.0,0.0,1.0,439.0,1997.0,19,0.0,1.0,2.4687,9.4419,42.5,41.45,2016-09-11,Yes,FALSE CREEK,1.0,4.0,1473552000.0
304 1295 RICHARDS STREET,VVWDT,415000,91.0,1.0,1.0,500.0,2000.0,16,0.0,0.0,2.34,8.3,44.9,41.5,2016-11-08,,,0.0,2.0,1478563200.0
906 1239 W GEORGIA STREET,VVWCB,416000,11.0,0.0,1.0,430.0,1999.0,17,1.0,1.0,2.0169,9.6744,44.9,41.6,2016-10-29,Yes,SOME VIEW OF COAL HARBOUR,3.0,1.0,1477699200.0
209 1169 NELSON STREET,VVWWE,416000,13.0,1.0,1.0,635.0,1981.0,35,0.0,1.0,3.7186000000000003,6.5512,39.9,41.6,2016-11-29,No,,-1.0,3.0,1480377600.0
304 1717 HARO STREET,VVWWE,417000,13.0,1.0,1.0,615.0,1977.0,39,1.0,1.0,2.8816,6.7805,41.9,41.7,2016-09-18,,,0.0,3.0,1474156800.0
810 66 W CORDOVA STREET,VVWDT,418000,30.0,1.0,1.0,554.0,2012.0,4,1.0,0.0,2.1837,7.5451,42.8,41.8,2016-09-07,No,,-1.0,2.0,1473206400.0
709 66 W CORDOVA STREET,VVWDT,418500,7.0,1.0,1.0,540.0,2012.0,4,1.0,0.0,2.1837,7.75,39.9,41.85,2016-09-19,Yes,"MOUNTAIN, CITY",2.0,2.0,1474243200.0
2501 939 HOMER STREET,VVWYA,419000,15.0,0.0,1.0,442.0,1997.0,19,1.0,1.0,2.0869,9.4796,41.9,41.9,2016-12-01,Yes,CITY,2.0,4.0,1480550400.0
1708 233 ROBSON STREET,VVWDT,419800,3.0,0.0,1.0,450.0,2009.0,7,0.0,0.0,1.6051,9.328899999999999,41.98,41.98,2016-09-09,Yes,SWEEPING CITY VIEW,2.0,2.0,1473379200.0
1407 438 SEYMOUR STREET,VVWDT,421000,14.0,1.0,1.0,536.0,1996.0,20,1.0,1.0,3.9208,7.854500000000001,43.88,42.1,2016-11-08,Yes,NORTHSHORE MOUNTAINS & CITY,2.0,2.0,1478563200.0
2808 233 ROBSON STREET,VVWDT,424000,8.0,0.0,1.0,442.0,2009.0,7,0.0,0.0,1.6051,9.5928,42.4888,42.4,2016-10-11,No,,-1.0,2.0,1476144000.0
2106 233 ROBSON STREET,VVWDT,425000,9.0,0.0,1.0,498.0,2009.0,7,0.0,0.0,1.8009,8.5341,42.89,42.5,2016-09-16,Yes,CITY & WATER,2.0,2.0,1473984000.0
1710 1331 ALBERNI STREET,VVWWE,425000,29.0,0.0,1.0,445.0,1999.0,17,0.0,1.0,2.2218999999999998,9.5506,43.9,42.5,2016-10-19,No,,-1.0,3.0,1476835200.0
1702 438 SEYMOUR STREET,VVWDT,425000,7.0,1.0,1.0,570.0,1996.0,20,1.0,1.0,4.006,7.4561,43.8,42.5,2016-09-20,Yes,PEEK-A-BOO WATER VIEW,3.0,2.0,1474329600.0
205 66 W CORDOVA STREET,VVWDT,425000,2.0,1.0,1.0,539.0,2012.0,4,1.0,0.0,2.1837,7.885,42.5,42.5,2016-10-07,Yes,"COURT YARD , CITY",2.0,2.0,1475798400.0
1110 989 NELSON STREET,VVWDT,425000,9.0,1.0,1.0,495.0,1995.0,21,1.0,0.0,3.1474,8.5859,41.8,42.5,2016-10-12,Yes,CITY VIEWS,2.0,2.0,1476230400.0
206 233 ABBOTT STREET,VVWDT,425000,30.0,0.0,1.0,539.0,1996.0,20,0.0,0.0,2.2743,7.885,42.8,42.5,2016-11-05,,,0.0,2.0,1478304000.0
504 535 SMITHE STREET,VVWDT,427000,8.0,0.0,1.0,423.0,2010.0,6,0.0,0.0,1.8094999999999999,10.0946,42.75,42.7,2016-10-19,,,0.0,2.0,1476835200.0
204 1295 RICHARDS STREET,VVWDT,428000,6.0,1.0,1.0,536.0,2002.0,14,1.0,0.0,2.124,7.9851,42.99,42.8,2016-11-28,,,0.0,2.0,1480291200.0
1609 438 SEYMOUR STREET,VVWDT,429200,62.0,1.0,1.0,560.0,1996.0,20,1.0,1.0,4.006,7.6643,43.6,42.92,2016-11-01,Yes,CITY VIEW,2.0,2.0,1477958400.0
102 1280 NICOLA STREET,VVWWE,429900,10.0,1.0,1.0,684.0,1987.0,29,1.0,1.0,2.865,6.2851,42.99,42.99,2016-12-01,No,,-1.0,3.0,1480550400.0
501 535 SMITHE STREET,VVWDT,430000,3.0,0.0,1.0,423.0,2010.0,6,0.0,0.0,1.8094999999999999,10.1655,42.8,43.0,2016-11-06,,,0.0,2.0,1478390400.0
34 777 BURRARD STREET,VVWWE,430000,12.0,1.0,1.0,663.0,1914.0,103,1.0,0.0,3.03,6.4857000000000005,48.0,43.0,2016-09-25,,,0.0,3.0,1474761600.0
1705 1740 COMOX STREET,VVWWE,430000,27.0,1.0,1.0,571.0,1976.0,40,1.0,1.0,3.5329,7.5306,44.8,43.0,2016-12-04,Yes,"CITY, MOUNTAINS & SOME WATER",2.0,3.0,1480809600.0
402 1718 NELSON STREET,VVWWE,431500,12.0,1.0,1.0,485.0,1976.0,40,1.0,1.0,2.7975,8.8969,41.5,43.15,2016-11-29,No,,-1.0,3.0,1480377600.0
623 1333 HORNBY STREET,VVWDT,434000,36.0,0.0,1.0,462.0,1979.0,37,1.0,1.0,2.2788,9.3939,43.88,43.4,2016-10-12,Yes,COURTYARD,1.0,2.0,1476230400.0
308 1177 HORNBY STREET,VVWDT,435000,7.0,1.0,1.0,651.0,1995.0,21,0.0,1.0,3.0608999999999997,6.682,42.5,43.5,2016-09-13,Yes,CITY VIEW,2.0,2.0,1473724800.0
1604 989 BEATTY STREET,VVWYA,435000,3.0,0.0,1.0,471.0,2004.0,12,1.0,0.0,2.1162,9.235700000000001,43.88,43.5,2016-09-24,,,0.0,4.0,1474675200.0
2110 438 SEYMOUR STREET,VVWDT,435000,14.0,1.0,1.0,540.0,1996.0,20,1.0,1.0,3.8355,8.0556,43.9,43.5,2016-09-27,Yes,SOUTH VANCOUVER CITY VIEW,2.0,2.0,1474934400.0
23 777 BURRARD STREET,VVWWE,435000,10.0,1.0,1.0,622.0,1914.0,103,1.0,0.0,2.84,6.9936,45.0,43.5,2016-09-23,,,0.0,3.0,1474588800.0
302 1718 NELSON STREET,VVWWE,436000,0.0,1.0,1.0,485.0,1979.0,37,1.0,1.0,2.7975,8.989700000000001,42.88,43.6,2016-12-07,,,0.0,3.0,1481068800.0
25 777 BURRARD STREET,VVWWE,440000,7.0,1.0,1.0,610.0,1914.0,103,1.0,0.0,2.79,7.2131,45.5,44.0,2016-09-20,,,0.0,3.0,1474329600.0
303 969 RICHARDS STREET,VVWDT,440000,25.0,0.0,1.0,410.0,2002.0,14,1.0,1.0,2.164,10.7317,44.99,44.0,2016-10-22,No,,-1.0,2.0,1477094400.0
1110 66 W CORDOVA STREET,VVWDT,442000,30.0,1.0,1.0,538.0,2012.0,4,1.0,0.0,2.2,8.2156,45.5,44.2,2016-12-15,Yes,"WATER, CITY, MTN, BURRARD INLE",2.0,2.0,1481760000.0
46 777 BURRARD STREET,VVWWE,444000,12.0,1.0,1.0,621.0,1914.0,103,1.0,0.0,2.84,7.1498,46.5,44.4,2016-09-25,,,0.0,3.0,1474761600.0
401 950 DRAKE STREET,VVWDT,445000,0.0,1.0,1.0,471.0,1982.0,34,0.0,0.0,2.1376,9.448,45.0,44.5,2016-11-16,,,0.0,2.0,1479254400.0
419 1500 PENDRELL STREET,VVWWE,445000,2.0,1.0,1.0,631.0,1978.0,38,1.0,1.0,2.8831,7.0523,44.88,44.5,2016-10-26,Yes,"TREES, SOUTHEAST",1.0,3.0,1477440000.0
38 777 BURRARD STREET,VVWWE,445000,8.0,1.0,1.0,634.0,1914.0,102,1.0,0.0,2.9,7.0188999999999995,47.0,44.5,2016-09-21,,,0.0,3.0,1474416000.0
214 1177 HORNBY STREET,VVWDT,446899,31.0,1.0,1.0,706.0,1995.0,21,1.0,1.0,3.3188999999999997,6.33,49.99,44.6899,2016-12-01,No,,-1.0,2.0,1480550400.0
1808 1283 HOWE STREET,VVWDT,448000,9.0,1.0,1.0,479.0,2018.0,0,0.0,0.0,1.8202,9.3528,44.8,44.8,2016-09-09,,,0.0,2.0,1473379200.0
1404 989 BEATTY STREET,VVWYA,449000,8.0,1.0,1.0,471.0,2004.0,12,1.0,1.0,2.1162,9.5329,39.8,44.9,2016-09-08,Yes,CITY AND FALSE GREEK,2.0,4.0,1473292800.0
808 909 MAINLAND STREET,VVWYA,449000,3.0,0.0,1.0,433.0,2007.0,9,1.0,1.0,1.77,10.3695,44.9,44.9,2016-11-13,Yes,YALETOWN VIEWS,1.0,4.0,1478995200.0
708 1060 ALBERNI STREET,VVWWE,450000,6.0,1.0,1.0,552.0,1988.0,28,0.0,1.0,2.376,8.1522,42.0,45.0,2016-11-06,Yes,"CITY, ROBSON STREET",2.0,3.0,1478390400.0
402 950 DRAKE STREET,VVWDT,450000,46.0,0.0,1.0,460.0,1982.0,34,0.0,0.0,2.1376,9.7826,45.0,45.0,2016-10-15,,,0.0,2.0,1476489600.0
68 777 BURRARD STREET,VVWWE,450000,8.0,1.0,1.0,610.0,1914.0,102,1.0,0.0,2.89,7.377000000000001,47.4692,45.0,2016-09-21,,,0.0,3.0,1474416000.0
712 1333 HORNBY STREET,VVWDT,450000,6.0,0.0,1.0,462.0,1979.0,37,1.0,1.0,2.2786,9.7403,38.88,45.0,2016-12-04,Yes,CITY & PARTIAL WATER,2.0,2.0,1480809600.0
506 1238 RICHARDS STREET,VVWYA,450000,3.0,0.0,1.0,468.0,1998.0,18,1.0,0.0,2.2640000000000002,9.6154,45.0,45.0,2016-09-22,Yes,EMERY BARNES PARK,1.0,4.0,1474502400.0
1204 1050 BURRARD STREET,VVWDT,455000,9.0,0.0,1.0,468.0,1994.0,22,0.0,1.0,2.0745,9.7222,46.0,45.5,2016-11-24,Yes,COURTYARD & MOUNTAINS,2.0,2.0,1479945600.0
2008 1283 HOWE STREET,VVWDT,455800,13.0,1.0,1.0,479.0,2018.0,0,0.0,0.0,1.8202,9.5157,45.58,45.58,2016-09-13,,,0.0,2.0,1473724800.0
1004 1330 HORNBY STREET,VVWDT,458000,11.0,1.0,1.0,570.0,1986.0,30,1.0,1.0,2.6765,8.0351,46.8888,45.8,2016-11-14,Yes,PARTIAL B OCEAN,3.0,2.0,1479081600.0
2410 501 PACIFIC STREET,VVWDT,459800,75.0,0.0,1.0,513.0,2000.0,16,1.0,1.0,2.8285,8.963,46.8,45.98,2016-10-01,Yes,WATER VIEWS,3.0,2.0,1475280000.0
2907 438 SEYMOUR STREET,VVWDT,460000,13.0,1.0,1.0,556.0,1996.0,20,1.0,1.0,3.9208,8.2734,47.5,46.0,2016-12-15,Yes,SEE L.R. FOR DETAILS,1.0,2.0,1481760000.0
2303 131 REGIMENT SQUARE,VVWDT,460000,14.0,1.0,1.0,502.0,2007.0,9,0.0,0.0,2.4048,9.1633,47.9,46.0,2016-10-18,Yes,WATER/CITY,2.0,2.0,1476748800.0
205 1080 BROUGHTON STREET,VVWWE,464000,2.0,1.0,1.0,603.0,1982.0,34,1.0,1.0,2.0562,7.6949000000000005,44.99,46.4,2016-09-14,No,,-1.0,3.0,1473811200.0
1007 555 JERVIS STREET,VVWCB,465000,14.0,1.0,1.0,527.0,1995.0,21,1.0,1.0,2.8567,8.823500000000001,47.9,46.5,2016-09-29,No,,-1.0,1.0,1475107200.0
405 1212 HOWE STREET,VVWDT,468000,5.0,1.0,1.0,590.0,2008.0,9,0.0,1.0,2.6329000000000002,7.9322,47.9,46.8,2016-12-19,,,0.0,2.0,1482105600.0
201 1554 BURNABY STREET,VVWWE,470000,10.0,1.0,1.0,700.0,1990.0,26,1.0,1.0,3.112,6.7143,47.5,47.0,2016-09-23,,,0.0,3.0,1474588800.0
2103 1850 COMOX STREET,VVWWE,470000,3.0,1.0,1.0,648.0,1968.0,48,1.0,1.0,3.42,7.2531,44.9,47.0,2016-09-03,Yes,"ENGLISH BAY, OCEAN & MOUNTAINS",2.0,3.0,1472860800.0
2605 602 CITADEL PARADE,VVWDT,473000,1.0,1.0,1.0,685.0,2007.0,10,0.0,1.0,3.3224,6.9051,47.3,47.3,2016-12-17,Yes,"CITY, WATER, MOUNTAINS",2.0,2.0,1481932800.0
807 689 ABBOTT STREET,VVWDT,475000,3.0,1.0,1.0,578.0,2009.0,7,1.0,1.0,2.4462,8.218,42.99,47.5,2016-10-10,,,0.0,2.0,1476057600.0
3509 128 W CORDOVA STREET,VVWDT,475000,27.0,1.0,1.0,560.0,2009.0,7,0.0,1.0,3.1062,8.4821,50.0,47.5,2016-11-07,Yes,SPECTACULAR CITY/WATER/MNTN,2.0,2.0,1478476800.0
2308 909 MAINLAND STREET,VVWYA,477500,23.0,0.0,1.0,433.0,2006.0,10,1.0,1.0,1.7508000000000001,11.0277,47.75,47.75,2016-11-02,,,0.0,4.0,1478044800.0
1707 161 W GEORGIA STREET,VVWDT,478000,2.0,1.0,1.0,556.0,2012.0,4,0.0,0.0,2.85,8.597100000000001,48.48,47.8,2016-11-09,Yes,CITY,2.0,2.0,1478649600.0
807 588 BROUGHTON STREET,VVWCB,479000,61.0,1.0,1.0,528.0,1995.0,21,1.0,1.0,2.8567,9.072000000000001,49.98,47.9,2016-11-14,Yes,CITY VIEW,2.0,1.0,1479081600.0
905 1212 HOWE STREET,VVWDT,480000,53.0,1.0,1.0,590.0,2008.0,8,1.0,1.0,2.6329000000000002,8.1356,49.8,48.0,2016-11-29,,,0.0,2.0,1480377600.0
410 1216 HOMER STREET,VVWYA,480000,5.0,0.0,1.0,512.0,1997.0,19,1.0,0.0,2.9088,9.375,48.8,48.0,2016-11-01,Yes,YALETOWN,1.0,4.0,1477958400.0
805 1212 HOWE STREET,VVWDT,480000,49.0,1.0,1.0,590.0,2008.0,8,1.0,1.0,2.6329000000000002,8.1356,49.6,48.0,2016-09-28,,,0.0,2.0,1475020800.0
810 1212 HOWE STREET,VVWDT,481000,6.0,1.0,1.0,561.0,2008.0,8,1.0,1.0,2.4986,8.574,48.3,48.1,2016-12-04,,,0.0,2.0,1480809600.0
810 1283 HOWE STREET,VVWDT,483000,22.0,1.0,1.0,622.0,2018.0,0,0.0,0.0,2.4009,7.7653,49.8,48.3,2016-09-22,,,0.0,2.0,1474502400.0
2909 438 SEYMOUR STREET,VVWDT,484000,15.0,1.0,1.0,560.0,1996.0,20,1.0,1.0,4.006,8.6429,48.99,48.4,2016-10-11,Yes,"CITY, OCEAN, STADIUM",2.0,2.0,1476144000.0
1210 1060 ALBERNI STREET,VVWWE,485000,6.0,0.0,1.0,580.0,1988.0,28,0.0,1.0,2.4965,8.3621,43.888,48.5,2016-11-14,Yes,CITY & MOUNTAIN VIEWS,2.0,3.0,1479081600.0
1807 1283 HOWE STREET,VVWDT,485000,32.0,1.0,1.0,453.0,2019.0,0,0.0,1.0,1.7235,10.7064,46.0,48.5,2016-11-26,Yes,DOWNTOWN VIEW,1.0,2.0,1480118400.0
910 1283 HOWE STREET,VVWDT,485000,13.0,1.0,1.0,622.0,2018.0,0,0.0,0.0,2.4009,7.7974,49.9,48.5,2016-09-13,,,0.0,2.0,1473724800.0
416 488 HELMCKEN STREET,VVWYA,485500,60.0,1.0,1.0,628.0,1995.0,21,1.0,1.0,2.9619999999999997,7.7309,49.8,48.55,2016-09-26,Yes,COURTYARD GARDEN,1.0,4.0,1474848000.0
1409 1500 HOWE STREET,VVWYA,487000,8.0,1.0,1.0,531.0,1989.0,27,1.0,1.0,2.5267,9.1714,46.98,48.7,2016-11-01,Yes,"CITY, WATER, GRANVILLE BRIDGE",2.0,4.0,1477958400.0
309 1040 PACIFIC STREET,VVWWE,488000,8.0,1.0,1.0,828.0,1982.0,34,1.0,0.0,3.9739999999999998,5.8937,44.9,48.8,2016-12-06,Yes,CITY VIEWS AND TREES,2.0,3.0,1480982400.0
1107 66 W CORDOVA STREET,VVWDT,488000,49.0,1.0,1.0,611.0,2012.0,4,1.0,0.0,2.8806,7.9869,49.99,48.8,2016-10-25,Yes,WATER CITY MOUNTAINS,2.0,2.0,1477353600.0
911 1009 HARWOOD STREET,VVWWE,488800,21.0,1.0,1.0,490.0,2014.0,2,1.0,1.0,2.1319,9.9755,49.9,48.88,2016-10-28,,,0.0,3.0,1477612800.0
1407 1068 HORNBY STREET,VVWDT,490000,47.0,1.0,1.0,549.0,2000.0,16,1.0,1.0,2.6828,8.9253,49.5,49.0,2016-09-18,Yes,SW WEST LOOKING DOWN COMOX,1.0,2.0,1474156800.0
1407 555 JERVIS STREET,VVWCB,490800,133.0,1.0,1.0,527.0,1996.0,20,0.0,1.0,2.8567,9.313099999999999,49.98,49.08,2016-11-21,No,,-1.0,1.0,1479686400.0
1708 108 W CORDOVA STREET,VVWDT,492555,16.0,1.0,1.0,572.0,2009.0,7,0.0,1.0,3.1403,8.6111,49.99,49.2555,2016-11-16,Yes,"GORGEOUS WATER, MOUNTAIN, CITY",2.0,2.0,1479254400.0
2407 555 JERVIS STREET,VVWCB,494000,71.0,1.0,1.0,527.0,1996.0,20,1.0,1.0,2.8567,9.3738,50.9,49.4,2016-11-25,,,0.0,1.0,1480032000.0
615 618 ABBOTT STREET,VVWDT,497500,40.0,1.0,1.0,592.0,2007.0,9,0.0,1.0,2.7307,8.4037,50.88,49.75,2016-12-05,Yes,CITY VIEWS,2.0,2.0,1480896000.0
808 1331 W GEORGIA STREET,VVWCB,497500,11.0,1.0,1.0,526.0,1997.0,19,0.0,1.0,3.4442000000000004,9.4582,49.9,49.75,2016-09-04,,,0.0,1.0,1472947200.0
502 68 SMITHE STREET,VVWDT,497500,44.0,1.0,1.0,505.0,2016.0,0,1.0,0.0,2.11,9.8515,51.5,49.75,2016-09-24,Yes,INNER YARD WITH SWIMMING POOL,1.0,2.0,1474675200.0
1088 NICOLA STREET,VVWWE,498900,3.0,1.0,1.0,604.0,2016.0,0,0.0,0.0,1.5162,8.2599,49.89,49.89,2016-09-13,No,,-1.0,3.0,1473724800.0
213 1688 ROBSON STREET,VVWWE,499000,5.0,1.0,1.0,571.0,1999.0,17,1.0,1.0,4.2076,8.7391,49.8,49.9,2016-10-16,No,,-1.0,3.0,1476576000.0
2202 928 RICHARDS STREET,VVWYA,499000,2.0,1.0,1.0,490.0,2000.0,17,1.0,1.0,2.4749,10.1837,49.99,49.9,2016-12-24,Yes,CITY AND MOUNTAIN,2.0,4.0,1482537600.0
802 1283 HOWE STREET,VVWDT,499999,35.0,1.0,1.0,562.0,2018.0,0,0.0,0.0,2.1524,8.896799999999999,52.8,49.9999,2016-11-22,,,0.0,2.0,1479772800.0
204 1189 HOWE STREET,VVWDT,500000,0.0,0.0,1.0,467.0,1999.0,18,0.0,1.0,2.2218999999999998,10.706600000000002,53.9,50.0,2016-11-30,No,,-1.0,2.0,1480464000.0
301 1155 SEYMOUR STREET,VVWDT,500000,75.0,1.0,1.0,530.0,2005.0,12,1.0,1.0,2.3397,9.434,50.5,50.0,2016-12-27,,,0.0,2.0,1482796800.0
2607 108 W CORDOVA STREET,VVWDT,500000,7.0,1.0,1.0,583.0,2009.0,7,0.0,1.0,3.1995,8.5763,49.9,50.0,2016-09-19,Yes,"CITY, MOUNTAINS, OCEAN",2.0,2.0,1474243200.0
704 1010 HOWE STREET,VVWDT,500000,69.0,1.0,1.0,600.0,1982.0,35,1.0,1.0,3.33,8.333300000000001,51.99,50.0,2016-12-19,Yes,CITY,2.0,2.0,1482105600.0
1202 1068 HORNBY STREET,VVWDT,500000,3.0,1.0,1.0,549.0,1999.0,18,1.0,1.0,2.5934,9.1075,50.9,50.0,2016-09-24,Yes,LOVELY URBAN VIEW UP HORNBY,1.0,2.0,1474675200.0
